|block1|block2|time|time_diff|ci|cc|acc|sn|enc|time|session|crc|ci==8D|
|41442d2c461248713404|8d208b10e20020f06b16e93ef22d47581cd9103fe47c9c95f13e14b0b50f51b451a11dbc51110fb7dfd042e5deffc722a2cc856156af7abd00|1554987125|15|8d|20|8b|10e20020|000|000011100010000000000010|000|f06b|True|00|00|00|00|00|01|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|06|08|08|0a|00|00|
|41442d2c461248713404|8d208c21e20020df68e55fae48e0f3f1babae85317812da791c573191ec75d15d3dd12f131b9610fe41d67b371643d3c3ffceabdabc7ef8500|1554987141|16|8d|20|8c|21e20020|000|000111100010000000000010|001|df68|True|00|00|00|00|00|01|01|01|00|00|00|00|00|00|02|0f|00|03|0d|01|09|06|07|00|0b|06|0c|0d|0b|04|0a|07|0a|02|02|01|0d|08|02|0c|0d|03|01|0b|07|01|01|02|06|00|09|09|06|01|0a|09|0a|09|0c|08|00|0c|0a|01|08|02|03|0c|00|0b|04|0b|02|00|0a|08|06|0e|0b|08|01|0b|0c|0d|02|05|03|02|06|0d|09|0b|09|06|01|0a|07|0d|03|00|06|05|05|0c|05|05|02|08|07|05|03|08|00|00|
|41442d2c461248713404|8d208d20e20020ea12ba1e6a674c22376ac6ab10f58554121a14223c55c1f4835547f1d63431534fb37b522fc94db5593d5c6b926ffa450400|1554987156|15|8d|20|8d|20e20020|000|000011100010000000000010|001|ea12|True|00|00|00|00|00|01|00|01|00|00|00|00|00|00|01|05|05|06|03|05|04|01|04|04|02|01|0a|0c|0d|01|0c|06|05|00|01|04|04|03|04|03|0e|02|00|04|03|09|09|05|08|09|0b|01|05|01|02|03|04|09|00|06|0a|09|07|02|08|02|09|06|0e|01|02|05|00|03|08|08|01|02|04|00|03|01|06|02|01|05|09|0c|05|08|02|09|08|08|02|03|00|02|0a|00|08|01|02|0b|04|04|03|03|0a|0a|08|01|00|00|
|41442d2c461248713404|8d208e20e20020ea12ba1e6a674c22376ac6ab10f58554121a14223c55c174835547f1d63431534fb37b522fc94db5592d5c6b926ffafc9600|1554987172|16|8d|20|8e|20e20020|000|000011100010000000000010|001|ea12|True|00|00|00|00|00|01|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|08|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|01|00|00|00|00|00|00|00|00|00|00|00|0b|07|09|02|00|00|
|58442d2c461248713404|8d208f20e200201736bb57df523222376e39ac10f5855416e51c203c55c170975747b59e74424b4eb37bfb428d05b7046b146f6decd6ca8aa43222a900a288c1538482532602cfc6dd858fea1bfd3a00|1554987188|16|8d|20|8f|20e20020|000|000011100010000000000010|001|1736|True|00|00|00|00|00|01|00|00|00|00|00|00|00|00|0d|03|02|04|00|01|04|07|07|05|01|05|01|0a|00|00|00|00|00|04|09|03|00|01|00|00|00|00|00|00|00|00|00|04|0d|05|00|08|00|02|00|00|00|00|00|00|00|04|01|04|00|02|00|00|04|04|04|08|04|00|01|01|01|08|00|01|00|00|00|00|0a|09|02|0d|04|04|04|08|00|02|05|05|04|02|04|08|00|04|03|0b|08|03|02|04|03|02|01|04|0a|04|
|41442d2c461248713404|8d209031e20020d6987196d67ece3754151d50478a6a7f01b3129661732d95f5782ff27fd6b3e23339c7401f1cac69bf9e8094b485b15e6700|1554987203|15|8d|20|90|31e20020|000|000111100010000000000010|001|d698|True|00|00|00|00|01|0f|01|01|00|00|00|00|00|00|0c|01|06|02|04|0a|04|01|00|09|02|0c|09|0c|01|05|02|03|05|09|02|04|05|0c|03|07|07|05|02|05|02|0b|01|05|03|02|00|0a|07|06|03|0b|02|02|0a|0c|02|05|06|02|02|01|02|08|04|03|02|01|06|02|07|01|0a|09|01|0b|08|06|05|04|0b|0b|03|0d|07|01|0a|07|05|02|0b|0b|03|03|07|04|03|0b|05|09|06|07|02|05|07|04|02|03|0a|04|
|41442d2c461248713404|8d209130e2002063850bc9f763785a015c16155baac87dc4a418dca7df88d7f75bec56ebce1b58c0afc54d6bc5f99d106ace9695437412a600|1554987219|16|8d|20|91|30e20020|000|000011100010000000000010|001|6385|True|00|00|00|00|00|01|00|01|00|00|00|00|00|00|07|03|01|03|07|0a|03|03|02|01|01|0b|05|06|02|03|05|03|04|07|00|07|04|05|01|04|02|00|06|02|00|02|0c|03|01|01|00|06|04|06|04|06|06|0c|06|05|04|02|00|02|02|03|0c|03|0a|04|07|04|01|08|0a|08|09|06|09|03|07|06|00|02|00|0d|05|04|0b|07|05|03|03|04|0a|0f|03|04|04|0e|00|02|02|01|04|02|04|03|04|0c|04|01|00|00|
|41442f2c461248713404|8d209230e2002063850bc9f763785a015c16155baac87dc4a418dca7df88d7f75bec56ebce1b58c0afc54d6bc5f99d106ace9695c374ab3400|1554987234|15|8d|20|92|30e20020|000|000011100010000000000010|001|6385|True|00|00|00|00|00|01|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|08|00|00|00|09|09|07|02|00|00|
|41442d2c461248713404|8d209330e2002063850bc9f763785a015c16155baac87dc4a418dca7df88d7f75bec56ebce1b58c0afc54d6bc5f99d106ace96954374c3ba00|1554987250|16|8d|20|93|30e20020|000|000011100010000000000010|001|6385|True|00|00|00|00|00|01|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|08|00|00|00|02|08|08|06|00|00|
|41442d2c461248713404|8d209441e200204777576a40a9cd8455a573536ca0b2e3dac5ef273dc9be48069cd460ee5b8418ef48c4369f1cead55457652aa0e809507b00|1554987266|16|8d|20|94|41e20020|000|000111100010000000000010|010|4777|True|00|00|00|00|00|01|01|01|00|00|00|00|00|00|02|04|01|02|05|04|06|01|0b|07|04|06|05|05|03|06|05|04|05|07|06|03|04|02|01|01|00|0a|01|06|07|0a|01|06|02|01|0d|07|0b|05|07|06|01|06|03|06|09|01|0f|01|04|01|01|08|01|06|00|03|07|03|07|07|04|00|02|0f|06|07|00|01|01|07|03|04|0b|07|01|01|04|08|04|04|01|03|06|09|07|04|01|05|0a|05|07|05|07|03|04|01|00|00|
