|block1|block2|time|time_diff|ci|cc|acc|sn|enc|time|session|crc|ci==8D|
|41442d2c461248713404|8d20c5a0e80020e06cc0f6403fa784e8ea64a23e770017e7628f0ea0508439b9415878f3cb3c89dabc21503ad92b3c83ec56a1c9b4ff35de00|1555407865|-1|8d|20|c5|a0e80020|000|000011101000000000000010|101|e06c|True||
|41442d2c461248713404|8d20c6a0e80020e06cc0f6403fa784e8ea64a23e770017e7628f0ea0508439b9415878f3cb3c89dabc21503ad92b3c83ec56a1c9b4ff8c4c00|1555407881|16|8d|20|c6|a0e80020|000|000011101000000000000010|101|e06c|True|00|00|01|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|57|92|00|
|41442d2c461248713404|8d20c7a0e80020e06cc0f6403fa784e8ea64a23e770017e7628f0ea0508439b9415878f3cb3c89dabc21503ad92b3c83ec56a1c9b4ffe4c200|1555407897|16|8d|20|c7|a0e80020|000|000011101000000000000010|101|e06c|True|00|00|01|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|58|76|00|
|41442d2c461248713404|8d20c8b1e800209d60a09869030b2957e271bf8a6be8f741981be75beb6c92913ed53a8d5eb133a98c3e0456c4230eae80a1d50276883e6600|1555407913|16|8d|20|c8|b1e80020|000|000111101000000000000010|101|9d60|True|00|00|01|11|00|00|00|43|0c|20|5e|29|3c|9c|5b|91|08|0d|1d|4c|0c|e8|e0|a6|36|74|d9|45|9b|18|59|28|03|7d|3e|66|6d|75|56|31|30|1d|4c|1c|15|08|2e|2b|6c|4b|34|c7|3e|77|a6|5c|00|
|41442d2c461248713404|8d20cab0e80020fe693930b54c797c0c8b49e9097c75ed858a1f3419a607f52894cdc02280cbff279722d9cd0aa8a1d640128377dab23c2a00|1555407945|32|8d|20|ca|b0e80020|000|000011101000000000000010|101|fe69|True|00|00|02|01|00|00|00|61|09|67|68|4c|49|6e|53|4b|57|28|2a|81|11|73|0a|44|0e|04|b3|42|45|65|63|69|56|08|86|6b|22|1a|cc|82|0b|1c|d5|77|ba|85|93|28|40|8f|52|75|64|2a|02|3c|00|
|41442d2c461248713404|8d20cbc1e80020b567fd931548f1b64d417a8140e5a32b2cbcf3bc0d3990463cabd3a07448f9552c50d2fc4c3fec1f7675aa1a38a3ef684700|1555407961|16|8d|20|cb|c1e80020|000|000111101000000000000010|110|b567|True|00|00|01|11|00|00|00|49|02|c4|63|a0|04|78|3a|41|4a|31|68|37|69|2e|c2|59|32|d4|88|0c|6d|89|af|14|17|06|20|52|38|2e|aa|05|47|b0|23|81|35|44|82|60|35|98|69|3f|37|3d|2c|1d|00|
|58442d2c461248713404|8d20ccc0e8002034c389dc36d96385d45e71cef397e014b82d0016c3fe06422080035eeee36b6c0917b27ae7446a535dd546e8ac05a94c55d3786b91aa6ced39295818d43bc85f1340de368b013e0d00|1555407977|16|8d|20|cc|c0e80020|000|000011101000000000000010|110|34c3|True|00|00|01|01|00|00|00|81|5c|74|49|21|91|8e|31|87|1d|09|4d|b3|4e|3d|17|8c|8f|f3|a6|b6|c5|8a|04|1c|2b|d0|42|7a|9b|8e|17|23|39|20|82|9b|05|82|34|19|60|64|ce|74|9e|46|1c|0e|d3|
|41442d2c461248713404|8d20cdc0e8002058bf889583da1d85d45a8ec9f397e014bcd20814c3fe06463482031aa6a318740817b2c88a00225100930eec53868547ed00|1555407993|16|8d|20|cd|c0e80020|000|000011101000000000000010|110|58bf|True|00|00|01|00|00|00|00|24|04|01|47|4d|01|46|00|00|04|1d|05|00|00|00|00|04|a5|08|02|00|00|00|04|14|02|00|44|48|40|53|08|01|00|00|4e|5d|44|48|02|5d|42|38|04|59|81|24|05|98|d3|
|41442d2c461248713404|8d20cec0e8002058bf889583da1d85d45a8ec9f397e014bcd20814c3fe06463482031aa6a318740817b2c88a00225100930eec538685fe7f00|1555408009|16|8d|20|ce|c0e80020|000|000011101000000000000010|110|58bf|True|00|00|01|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|b7|6e|00|
|41442d2c461248713404|8d20cfd1e80020fa0707d596c425d2fecc99ce26038633395b43b120101ad86b92146a54498fd32cfe5000ba2fa58ad03e5e386c697f002200|1555408025|16|8d|20|cf|d1e80020|000|000111101000000000000010|110|fa07|True|00|00|01|11|00|00|00|a2|b8|81|40|13|16|08|4d|2a|72|0b|05|cd|94|5a|1f|83|77|3b|9d|a3|ee|14|92|37|10|11|50|52|5a|77|5f|24|e7|62|c8|30|2f|83|39|d0|55|50|b4|19|1d|06|fe|5d|00|
|41442d2c461248713404|8d20d0d0e8002068a918fdcf14e37aa6c95a6565537816015855282c212320c8e8ce600562201758f19977fa0319c0eca31c38629302b8e000|1555408042|17|8d|20|d0|d0e80020|000|000011101000000000000010|110|68a9|True|00|00|01|01|00|00|00|92|a2|11|28|39|b0|be|58|58|03|3f|69|3f|50|0e|1d|38|03|12|89|0c|11|09|b8|5d|56|ba|0a|4f|19|6f|bc|2c|0d|49|77|40|2c|8c|36|1c|65|42|00|0a|2a|7d|b8|be|00|
