|block1|block2|time|time_diff|ci|cc|acc|sn|enc|time|session|crc|ci==8D|
|41442d2c461248713404|8d207ee0e100203121c1021d92a37fe3d7a517134862119f54df8f6b4caba7078e23ef4e4aa7d9f9a9be6c311a3c1af80b19d6e2e8ccd5a900|1554986923|-1|8d|20|7e|e0e10020|000|000011100001000000000010|111|3121|True||
|58442d2c461248713404|8d207fe0e10020cc05c04ba8a7dd7fe3d35a10134862119babd78d6b4caba3138c23ab060ad4c1f8a9bec55c5e7418a54d51d21d6be0581fd8ccbb4a98a08f41277b5e4c8ab6fcadd625d855a2930100|1554986939|16|8d|20|7f|e0e10020|000|000011100001000000000010|111|cc05|True|00|00|01|00|00|00|00|9b|1c|01|49|8b|15|3a|00|00|04|4b|07|00|00|00|00|04|57|08|02|00|00|00|04|0c|02|00|44|48|40|2d|18|01|00|00|59|2b|44|38|02|53|42|38|04|c5|7d|14|7d|8a|d8|
|41442d2c461248713404|8d2080e0e100203121c1021d92a37fe3d7a517134862119f54df8f6b4caba7078e23ef4e4aa7d9f9a9be6c311a3c1af80b19d6e2e8ccb3fd00|1554986954|15|8d|20|80|e0e10020|000|000011100001000000000010|111|3121|True|00|00|01|00|00|00|00|9b|1c|01|49|8b|15|3a|00|00|04|4b|07|00|00|00|00|04|57|08|02|00|00|00|04|0c|02|00|44|48|40|2d|18|01|00|00|59|2b|44|38|02|53|42|38|04|c5|7d|14|5b|de|d8|
|41442d2c461248713404|8d2081f1e10020580c407b9be98957a9729293c29b8f11d5e522dcdcecba359006f299d3d101634b82b3f6fc778ec05a9ef40ea8425357ea00|1554986970|16|8d|20|81|f1e10020|000|000111100001000000000010|111|580c|True|00|00|01|11|00|00|00|27|15|81|79|7e|57|1a|28|3a|65|13|7c|af|53|2d|00|36|91|bd|4d|71|a0|0f|72|89|88|cf|56|85|87|a6|76|ae|27|0b|8a|cb|5d|52|a6|9e|93|db|c8|3a|a6|79|5c|13|00|
|41442d2c461248713404|8d2083f0e100202ac8ab23d5657d6c5ad84b93907f44af79bff09b5591f1a2a2dfe9e177838202344066c322f4e11cc9719691dc3cbda46b00|1554987001|31|8d|20|83|f0e10020|000|000011100001000000000010|111|2ac8|True|00|00|02|01|00|00|00|2e|bc|6b|58|3a|84|0c|15|4f|66|47|00|32|1c|4b|9e|5c|26|ce|41|87|5b|37|6d|12|d9|09|48|5c|4e|81|61|17|42|4d|33|da|7d|53|a4|6f|2d|5e|83|34|06|6a|4d|7f|00|
|41442d2c461248713404|8d2084f0e100202ac8ab23d5657d6c5ad84b93907f44af79bff09b5591f1a2a2dfe9e177838202344066c322f4e11cc9719691dc3cbd82a400|1554987016|15|8d|20|84|f0e10020|000|000011100001000000000010|111|2ac8|True|00|00|01|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|22|39|00|
|41442d2c461248713404|8d208501e20020eca4d7c42ca889994dc473cc94f70afadde5956d5c2af32cc9d22b499a7fac52be4ca3ae5c75681b9d76f76ebfe5b781a400|1554987032|16|8d|20|85|01e20020|000|000111100010000000000010|000|eca4|True|00|00|01|ef|01|00|00|c2|24|2c|a1|a9|43|0c|2d|0d|14|28|39|04|78|3a|4b|64|26|5b|2e|07|67|02|76|27|0d|be|98|23|04|2a|50|8a|0c|3d|15|3a|7f|79|01|2c|05|61|23|1d|a9|06|01|00|00|
|41442d2c461248713404|8d208600e200202e0135ce7367d766d5fce42b1862cc1ba850bb6a8a103ce30187f887a454a2b0e664a8b7e5b5e5197e9d6484448890965d00|1554987047|15|8d|20|86|00e20020|000|000011100010000000000010|000|2e01|True|00|00|01|01|00|00|00|be|a3|a2|0a|47|41|4e|33|88|38|71|a1|7c|95|c2|df|35|95|26|03|2e|1a|b7|b7|c8|4b|cd|3e|0a|2b|0a|5e|28|18|05|09|89|40|7d|02|1f|27|93|16|7b|5d|27|15|47|00|
|58442d2c461248713404|8d208700e20020d3253487c652a966d5f81b2c1862cc1bacafb3688a103ce71585f8c3ec14d1a8a764a81e88f1ad1b23db2c80bb0bbcecd927277bd963bfa90bd372e785a048d768294ef3ba6150c800|1554987063|16|8d|20|87|00e20020|000|000011100010000000000010|000|d325|True|00|00|01|00|00|00|00|a5|24|01|47|53|15|2e|00|00|04|c9|01|00|00|00|00|04|5f|08|02|00|00|00|04|14|02|00|3c|48|40|2f|08|3f|00|00|99|5d|3c|38|02|5b|3e|38|04|77|7d|2c|56|7c|27|
|41442d2c461248713404|8d208811e20020037806ff47ed3ad79a7d72f39c6c79a50b86aec801ce05d8071511911f3c1113c8edde8e710117314dc9616baf349e8f9a00|1554987078|15|8d|20|88|11e20020|000|000111100010000000000010|000|0378|True|00|00|01|11|00|00|00|d0|53|2e|78|7f|9b|6f|71|3b|7b|57|c7|84|0a|53|8a|a1|29|05|60|89|be|37|0f|0e|70|e7|32|cd|28|c0|95|21|89|36|70|17|f0|96|16|2a|12|35|15|0c|29|1e|5d|3f|27|
|41442d2c461248713404|8d208a10e20020f06b16e93ef22d47581cd9103fe47c9c95f13e14b0b50f51b451a11dbc51110fb7dfd042e5deffc722a2cc856156af123300|1554987110|32|8d|20|8a|10e20020|000|000011100010000000000010|000|f06b|True|00|00|02|01|00|00|00|ed|0d|10|16|09|05|0d|90|42|61|67|e3|5d|78|03|09|8a|6b|70|b4|af|19|0a|87|ad|3c|90|74|9d|15|00|04|11|0e|0e|4c|74|dd|e8|96|2b|27|6b|1a|4e|22|11|7d|67|00|
