|block1|block2|time|time_diff|ci|cc|acc|sn|enc|time|session|crc|ci==8D|
|41442d2c461248713404|8d20b840da002097d58f3fd24e0382ad9a9f204cbdad49c86b9debd0af402a3e0e2e63e605515807b9fa2ce4a75515f5dc94f09491525b7800|1554979642|16|8d|20|b8|40da0020|000|000011011010000000000010|010|97d5|True|00|00|00|00|00|01|00|00|00|00|00|00|00|00|03|03|02|04|00|01|04|09|07|05|03|03|07|0a|00|00|00|00|00|04|03|0f|00|07|00|00|00|00|00|00|00|00|00|04|03|07|00|08|00|02|00|00|00|00|00|00|00|04|01|04|00|02|00|00|04|04|04|08|04|00|03|01|01|08|00|01|00|00|00|00|06|07|06|05|04|04|04|08|00|02|05|03|04|02|04|08|00|04|03|07|08|01|02|0c|01|00|02|03|08|09
|41442d2c461248713404|8d20ba50da0020d013f988e27df273a232f64a68f81b41965090d39f87049b70b737a55201c6dedc79d1a1eb38548f09287067f3134d03fd00|1554979674|32|8d|20|ba|50da0020|000|000011011010000000000010|010|d013|True|00|00|00|00|00|02|01|00|00|00|00|00|00|00|04|07|0c|02|07|06|05|07|01|00|03|01|0f|01|01|01|00|0b|06|08|06|09|02|0a|02|04|04|05|09|02|00|08|03|02|01|0b|00|0d|01|08|04|0f|02|08|04|04|07|01|04|0e|0b|07|01|07|04|02|09|04|00|04|07|05|08|06|0d|05|04|00|02|09|08|0b|00|07|07|01|00|01|07|0a|0f|04|0b|04|02|04|09|07|06|01|08|02|01|0b|05|08|08|05|00|00
|41442d2c461248713404|8d20bb50da0020d013f988e27df273a232f64a68f81b41965090d39f87049b70b737a55201c6dedc79d1a1eb38548f09287067f3134d6b7300|1554979690|16|8d|20|bb|50da0020|000|000011011010000000000010|010|d013|True|00|00|00|00|00|01|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|06|08|08|0a|00|00
|41442d2c461248713404|8d20bc50da0020d013f988e27df273a232f64a68f81b41965090d39f87049b70b737a55201c6fedc79d1a1eb38548f09287067f3134d4dbc00|1554979706|16|8d|20|bc|50da0020|000|000011011010000000000010|010|d013|True|00|00|00|00|00|01|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|02|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|00|02|02|04|09|00|00
|41442d2c461248713404|8d20bd61da00204d988beaa06f8057329ff7cc2c6d889813eb8c5b1459db8803feb838590505d60ee86d459c5c3b5d92129ad98ebb8ada9000|1554979722|16|8d|20|bd|61da0020|000|000111011010000000000010|011|4d98|True|00|00|00|00|00|01|01|01|00|00|00|00|00|00|09|0d|08|05|07|02|06|02|04|02|01|02|07|02|02|04|07|00|06|0d|00|01|08|02|04|04|09|05|07|03|05|07|08|03|09|0b|01|0c|08|08|08|0b|03|02|0d|07|01|03|07|03|04|07|08|01|07|03|00|07|00|04|0c|01|02|08|0d|02|07|01|07|0c|06|04|05|01|02|04|02|07|03|02|09|07|01|06|02|0a|07|02|07|0b|0a|08|04|03|09|03|02|0c|00|00
|41442d2c461248713404|8d20be60da002003e3c9562f884afed38ecd99ca6da9b3300c869256ae93fe579963e2124232e1c04298e73aa89c44126fd37c3f533474f300|1554979738|16|8d|20|be|60da0020|000|000011011010000000000010|011|03e3|True|00|00|00|00|00|01|00|01|00|00|00|00|00|00|04|0a|05|05|04|02|09|04|08|0f|02|07|04|0a|0a|07|0a|01|01|01|03|06|03|03|0a|02|00|00|02|01|02|05|02|03|0e|01|00|06|04|09|04|02|05|05|04|08|07|06|05|04|06|05|05|05|0b|06|04|07|04|03|03|03|01|05|0c|0e|0a|06|03|05|0a|02|06|02|05|04|06|01|01|09|08|00|05|0d|04|07|06|03|05|01|06|08|05|06|06|06|06|03|00|00
|58442d2c461248713404|8d20bf60da0020fec7c81f9abd34fed38a329eca6da9b334f38e9056ae93fa039b63a65a0241f9c142984e57ecd4464f299b78c0d018d252d38d88feef5471d242e6ae982d81d8704cef195a8d9ee800|1554979754|16|8d|20|bf|60da0020|000|000011011010000000000010|011|fec7|True|00|00|00|00|00|01|00|00|00|00|00|00|00|00|0f|0b|02|04|00|01|04|09|07|05|03|05|01|06|00|00|00|00|00|04|09|0b|00|05|00|00|00|00|00|00|00|00|00|04|0f|09|00|08|00|02|00|00|00|00|00|00|00|04|05|04|00|02|00|00|04|04|04|08|04|00|01|01|01|08|00|01|00|00|00|00|0a|07|02|03|04|04|04|08|00|02|03|0d|04|06|04|08|00|04|09|0f|08|03|02|04|06|02|0a|01|0d|03
|41442d2c461248713404|8d20c060da002003e3c9562f884afed38ecd99ca6da9b3300c869256ae93fe579963e2124232e1c04298e73aa89c44126fd37c3f53342f5700|1554979770|16|8d|20|c0|60da0020|000|000011011010000000000010|011|03e3|True|00|00|00|00|01|0f|00|00|00|00|00|00|00|00|0f|0b|02|04|00|01|04|09|07|05|03|05|01|06|00|00|00|00|00|04|09|0b|00|05|00|00|00|00|00|00|00|00|00|04|0f|09|00|08|00|02|00|00|00|00|00|00|00|04|05|04|00|02|00|00|04|04|04|08|04|00|01|01|01|08|00|01|00|00|00|00|0a|07|02|03|04|04|04|08|00|02|03|0d|04|06|04|08|00|04|09|0f|08|03|02|04|0b|0d|00|05|0d|03
|41442d2c461248713404|8d20c171da002076dcc350b9a392b39dbe2d315f840c1d59d76acf8ac1ecf52f9bcd77bbb85e4c1d2a70fa21651ca47881216553dd94c3c300|1554979786|16|8d|20|c1|71da0020|000|000111011010000000000010|011|76dc|True|00|00|00|00|00|01|01|01|00|00|00|00|00|00|07|03|01|09|00|06|00|06|09|06|02|05|05|08|04|0b|04|0a|03|00|0a|00|06|08|07|05|02|09|0a|03|0a|0a|02|09|0d|05|02|04|03|0d|03|04|02|0d|05|09|00|09|03|08|00|02|06|0a|07|05|0a|09|07|06|02|0c|0a|0b|0b|0d|02|08|02|08|01|03|01|09|04|03|08|00|06|00|06|06|02|0e|0b|02|01|07|02|0c|08|0a|06|00|0a|0c|07|04|00|00
|41442d2c461248713404|8d20c370da002049236b679a67a123410c17db1cbb124c053f4e19e1e3eccbf41821d4d066a3d5b97490691350812047a6cf995f8df8324300|1554979818|32|8d|20|c3|70da0020|000|000011011010000000000010|011|4923|True|00|00|00|00|00|02|00|01|00|00|00|00|00|00|03|03|0b|09|06|08|01|07|02|01|04|04|01|01|09|00|05|0c|0b|02|01|06|0a|0a|04|03|03|07|01|0a|03|01|05|04|0a|08|02|04|0b|06|06|09|02|02|00|00|03|06|0d|0b|08|03|0a|0c|06|03|02|0b|05|02|05|0b|09|07|0a|04|05|06|02|00|09|01|01|02|01|05|07|0b|08|04|03|01|02|05|0a|0e|03|04|00|0c|05|00|06|04|09|01|08|00|00|00
